id_siniestro,fecha,distrito,latitud,longitud,cluster
SV-2022-000001,2022-01-01,Ahuachapan,13.921354,-89.833164,-1
SV-2022-000002,2022-01-01,Apopa,13.83001,-89.181664,-1
SV-2022-000003,2022-01-01,Cuscatancingo,13.764118,-89.187843,-1
SV-2022-000004,2022-01-01,Cuscatancingo,13.755369,-89.195517,-1
SV-2022-000005,2022-01-01,Cuscatancingo,13.742608,-89.182716,-1
SV-2022-000006,2022-01-01,Cuscatancingo,13.720858,-89.2074,-1
SV-2022-000007,2022-01-01,Ilopango,13.718357,-89.110598,-1
SV-2022-000008,2022-01-01,Ilopango,13.688752,-89.074445,-1
SV-2022-000009,2022-01-01,Cojutepeque,13.730471,-88.948091,-1
SV-2022-000010,2022-01-01,Mejicanos,13.7266,-89.195078,-1
SV-2022-000011,2022-01-01,Mejicanos,13.726998,-89.20903,-1
SV-2022-000012,2022-01-01,San Salvador,13.651053,-89.197323,-1
SV-2022-000013,2022-01-01,San Salvador,13.710323,-89.181265,-1
SV-2022-000014,2022-01-01,San Salvador,13.717629,-89.261882,-1
SV-2022-000015,2022-01-01,San Salvador,13.673006,-89.199678,-1
SV-2022-000016,2022-01-01,San Salvador,13.665838,-89.216812,-1
SV-2022-000017,2022-01-01,Soyapango,13.716377,-89.15448,-1
SV-2022-000018,2022-01-01,Tonacatepeque,13.787629,-89.137067,-1
SV-2022-000019,2022-01-01,Tecoluca,13.784158,-88.793404,-1
SV-2022-000020,2022-01-01,Chalchuapa,14.022159,-89.716248,-1
SV-2022-000021,2022-01-01,El Congo,13.892875,-89.515784,-1
SV-2022-000022,2022-01-01,Santa Ana,13.988084,-89.52531,-1
SV-2022-000023,2022-01-01,Santa Ana,13.962101,-89.530408,-1
SV-2022-000024,2022-01-01,Santa Ana,13.975266,-89.584843,-1
SV-2022-000025,2022-01-01,Santa Ana,14.015562,-89.569438,-1
SV-2022-000026,2022-01-01,Santa Ana,14.037415,-89.572557,-1
SV-2022-000027,2022-01-01,Santa Ana,14.000622,-89.578688,-1
SV-2022-000028,2022-01-01,Guaymango,13.775707,-89.838703,-1
SV-2022-000029,2022-01-01,Jiquilisco,13.313256,-88.583011,-1
SV-2022-000030,2022-01-01,Puerto El Triunfo,13.284224,-88.572638,-1
SV-2022-000031,2022-01-01,Ilobasco,13.82863,-88.851972,-1
SV-2022-000032,2022-01-01,Usulutan,13.33156,-88.443089,-1
SV-2022-000033,2022-01-01,San Miguel,13.477898,-88.182973,-1
SV-2022-000034,2022-01-01,San Miguel,13.45777,-88.148918,-1
SV-2022-000035,2022-01-01,San Pedro Perulapan,13.763606,-89.028311,-1
SV-2022-000036,2022-01-01,Suchitoto,13.911814,-89.034731,-1
SV-2022-000037,2022-01-01,Antiguo Cuscatlan,13.692439,-89.229287,0
SV-2022-000038,2022-01-01,Antiguo Cuscatlan,13.690195,-89.25776,-1
SV-2022-000039,2022-01-01,Ciudad Arce,13.881049,-89.466167,-1
SV-2022-000040,2022-01-01,Colon,13.71436,-89.359745,-1
SV-2022-000041,2022-01-01,Colon,13.670634,-89.383599,-1
SV-2022-000042,2022-01-01,Colon,13.720636,-89.359481,-1
SV-2022-000043,2022-01-01,La Libertad,13.488933,-89.32435,-1
SV-2022-000044,2022-01-01,Quezaltepeque,13.833777,-89.283251,-1
SV-2022-000045,2022-01-01,San Juan Opico,13.866956,-89.373313,-1
SV-2022-000046,2022-01-01,Santa Tecla,13.656372,-89.278209,-1
SV-2022-000047,2022-01-01,Santa Tecla,13.659412,-89.257712,-1
SV-2022-000048,2022-01-01,Santa Tecla,13.661882,-89.247993,-1
SV-2022-000049,2022-01-01,Santa Tecla,13.665593,-89.299001,-1
SV-2022-000050,2022-01-01,Olocuilta,13.550315,-89.089756,-1
SV-2022-000051,2022-01-01,Santiago Nonualco,13.483777,-88.945855,-1
SV-2022-000052,2022-01-01,Santiago Nonualco,13.46606,-88.952211,-1
SV-2022-000053,2022-01-01,Zacatecoluca,13.48768,-88.886252,-1
SV-2022-000054,2022-01-01,La Union,13.354044,-87.83506,-1
SV-2022-000055,2022-01-01,Chalatenango,14.028317,-88.901636,-1
SV-2022-000056,2022-01-01,Santa Rosa de Lima,13.677029,-87.895354,-1
SV-2022-000057,2022-01-01,Corinto,13.840125,-87.951209,-1
SV-2022-000058,2022-01-01,Chinameca,13.488459,-88.320087,-1
SV-2022-000059,2022-01-01,El Transito,13.387231,-88.374287,-1
SV-2022-000060,2022-01-01,Moncagua,13.563815,-88.233453,-1
SV-2022-000061,2022-01-01,San Miguel,13.483486,-88.187353,-1
SV-2022-000062,2022-01-01,San Miguel,13.485447,-88.172841,-1
SV-2022-000063,2022-01-01,San Miguel,13.475515,-88.150853,-1
SV-2022-000064,2022-01-01,San Miguel,13.471853,-88.194161,-1
SV-2022-000065,2022-01-01,Usulutan,13.324263,-88.453564,-1
SV-2022-000066,2022-01-01,Cojutepeque,13.727007,-88.924614,-1
SV-2022-000067,2022-01-02,Colon,13.713821,-89.373626,-1
SV-2022-000068,2022-01-02,San Miguel,13.454081,-88.208775,-1
SV-2022-000069,2022-01-02,Ilopango,13.710101,-89.096581,-1
SV-2022-000070,2022-01-02,La Union,13.350655,-87.849673,-1
SV-2022-000071,2022-01-02,Usulutan,13.360788,-88.405041,-1
SV-2022-000072,2022-01-02,Ciudad Barrios,13.750031,-88.272112,-1
SV-2022-000073,2022-01-02,Cuscatancingo,13.719544,-89.185175,-1
SV-2022-000074,2022-01-02,Izalco,13.747898,-89.66169,-1
SV-2022-000075,2022-01-02,Ciudad Delgado,13.738677,-89.193581,-1
SV-2022-000076,2022-01-02,San Salvador,13.707552,-89.211876,-1
SV-2022-000077,2022-01-02,Osicala,13.76383,-88.122766,-1
SV-2022-000078,2022-01-02,San Salvador,13.662196,-89.179093,-1
SV-2022-000079,2022-01-02,San Pedro Masahuat,13.54736,-89.003743,-1
SV-2022-000080,2022-01-02,San Salvador,13.716169,-89.217532,-1
SV-2022-000081,2022-01-02,Chalatenango,14.047823,-88.913893,-1
SV-2022-000082,2022-01-02,San Salvador,13.639266,-89.21942,-1
SV-2022-000083,2022-01-02,San Salvador,13.712551,-89.219836,-1
SV-2022-000084,2022-01-02,Sonzacate,13.752481,-89.695768,-1
SV-2022-000085,2022-01-02,San Salvador,13.687457,-89.254642,-1
SV-2022-000086,2022-01-02,Santa Ana,13.949422,-89.551179,-1
SV-2022-000087,2022-01-02,San Miguel,13.479158,-88.183523,-1
SV-2022-000088,2022-01-02,Santa Ana,13.993517,-89.580155,-1
SV-2022-000089,2022-01-02,Santa Ana,14.000915,-89.579264,-1
SV-2022-000090,2022-01-02,Santa Tecla,13.700514,-89.283824,-1
SV-2022-000091,2022-01-02,Santa Tecla,13.679812,-89.286546,-1
SV-2022-000092,2022-01-02,Soyapango,13.716755,-89.138369,-1
