year,month,day,hour,temp,temp_source,rhum,rhum_source,prcp,prcp_source,wdir,wdir_source,wspd,wspd_source,wpgt,wpgt_source,pres,pres_source,cldc,cldc_source,coco,coco_source
2026,1,1,0,30.0,metar,46,metar,0.0,dwd_mosmix,20,metar,19.0,metar,,,1012.0,metar,2,dwd_mosmix,2,dwd_mosmix
2026,1,1,1,28.0,metar,51,metar,0.0,dwd_mosmix,30,metar,11.0,metar,,,1013.0,metar,2,dwd_mosmix,7,dwd_mosmix
2026,1,1,2,27.0,metar,51,metar,0.0,dwd_mosmix,20,metar,13.0,metar,,,1014.0,metar,1,dwd_mosmix,7,dwd_mosmix
2026,1,1,3,27.0,metar,51,metar,0.0,dwd_mosmix,20,metar,15.0,metar,,,1014.0,metar,0,dwd_mosmix,7,dwd_mosmix
2026,1,1,4,26.0,metar,58,metar,0.0,dwd_mosmix,10,metar,6.0,metar,,,1014.0,metar,0,dwd_mosmix,18,dwd_mosmix
2026,1,1,5,26.0,metar,54,metar,0.0,dwd_mosmix,10,metar,19.0,metar,,,1014.0,metar,0,dwd_mosmix,18,dwd_mosmix
2026,1,1,6,26.0,metar,54,metar,0.0,dwd_mosmix,20,metar,17.0,metar,,,1014.0,metar,0,dwd_mosmix,7,dwd_mosmix
2026,1,1,7,25.0,metar,54,metar,0.0,dwd_mosmix,30,metar,17.0,metar,,,1013.0,metar,0,dwd_mosmix,18,dwd_mosmix
2026,1,1,8,26.0,metar,51,metar,0.0,dwd_mosmix,20,metar,17.0,metar,,,1013.0,metar,0,dwd_mosmix,1,dwd_mosmix
2026,1,1,9,24.0,metar,57,metar,0.0,dwd_mosmix,70,dwd_mosmix,4.0,metar,,,1013.0,metar,0,dwd_mosmix,1,dwd_mosmix
2026,1,1,10,25.0,metar,54,metar,0.0,dwd_mosmix,360,metar,9.0,metar,,,1013.0,metar,0,dwd_mosmix,8,dwd_mosmix
2026,1,1,11,24.0,metar,57,metar,0.0,dwd_mosmix,20,metar,9.0,metar,,,1014.0,metar,0,dwd_mosmix,8,dwd_mosmix
